Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_MI_11.1.1.1.6,Pulmonary Anthrax,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#508;@book?n=MI-apsemm&ed=3&vol=0#616
S_MI_11.1.1.1.7,Zygomycosis (or) Mucormycosis,,True,2,2023-02;2017-08,,@book?n=MI-apsemm&ed=4&vol=0#564;@book?n=MI-apsemm&ed=3&vol=0#680
S_MI_11.1.1.1.8,Influenza (or) Swine-Flu,"- Specimen Collection
- Transport
- Lab Diagnosis;- Diagnosis of H1N1
- Prophylaxis against H1N1",True,4,2019-02;2014-08;2010-02;1998-11,,@book?n=MI-apsemm&ed=4&vol=0#543;@book?n=MI-apsemm&ed=3&vol=0#648
S_MI_11.1.1.1.9,Infectious Mononucleosis,- Paul Bunnell Test,True,4,2023-07;2020-11;2009-08;2004-08,,@book?n=MI-apsemm&ed=4&vol=0#557;@book?n=MI-apsemm&ed=3&vol=0#672
S_MI_11.1.1.1.10,Tuberculosis,"- NTEP
- Culture Media for Tuberculosis
- Mantoux test
- BCG;- Lab Diagnosis;- RNTCP",True,8,2023-07;2022-08;2021-09;2018-02;2015-08;2013-08;2010-08;2009-02;2006-02;2004-08;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#515;@book?n=MI-apsemm&ed=3&vol=0#623
S_MI_11.1.1.1.11,Pneumocystis Pneumonia (or) Pneumocystis jirovecii,,True,2,2023-07;2013-02,,@book?n=MI-apsemm&ed=4&vol=0#563;@book?n=MI-apsemm&ed=3&vol=0#679
S_MI_11.1.1.1.12,Pseudomonas Infection,,True,1,2020-02,,@book?n=MI-apsemm&ed=4&vol=0#534;@book?n=MI-apsemm&ed=3&vol=0#642
S_MI_11.1.1.1.13,Atypical Mycobacteria (or) Non-Tuberculous Mycobacteria (NTM),,True,7,2021-09;2014-02;2010-02;2009-08;2008-08;2001-04;1999-04,,@book?n=MI-apsemm&ed=4&vol=0#527;@book?n=MI-apsemm&ed=3&vol=0#636
S_MI_11.1.1.1.14,Mycoplasma,- Lab Diagnosis,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#510;@book?n=MI-apsemm&ed=3&vol=0#618
S_MI_11.1.1.1.15,Legionellosis,,True,1,2013-02,,@book?n=MI-apsemm&ed=4&vol=0#513;@book?n=MI-apsemm&ed=3&vol=0#621
S_MI_11.1.1.1.16,Rhino Virus Infection,,True,1,2015-02,,@book?n=MI-apsemm&ed=4&vol=0#559;@book?n=MI-apsemm&ed=3&vol=0#675
S_MI_11.1.1.1.17,Oriental Lung Fluke (or) Paragonimus westermani,,True,2,2008-02;2005-08,,@book?n=MI-apsemm&ed=4&vol=0#561;@book?n=MI-apsemm&ed=3&vol=0#676
S_MI_11.1.1.1.18,Mumps,,True,1,2000-10,,@book?n=MI-apsemm&ed=4&vol=0#548;@book?n=MI-apsemm&ed=3&vol=0#656
S_MI_11.1.1.1.19,Antigenic Shift and Antigenic Drift,,False,5,,,@book?n=MI-apsemm&ed=4&vol=0#541;@book?n=MI-apsemm&ed=3&vol=0#649
S_MI_11.1.1.1.20,Extra-Pulmonary Tuberculosis,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#517;@book?n=MI-apsemm&ed=3&vol=0#625
S_MI_11.1.1.1.21,Quellung Reaction (or) Neufeld Reaction,,False,3,,,@book?n=MI-apsemm&ed=4&vol=0#502;@book?n=MI-apsemm&ed=3&vol=0#608
