Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_MI_5.1.1.1.10,Lab Diagnosis of Streptococcus pyogens,,True,1,2015-02,,@book?n=MI-apsemm&ed=4&vol=0#433;@book?n=MI-apsemm&ed=3&vol=0#524
S_MI_5.1.1.1.11,Non-Suppurative Complications of Streptococci,,True,3,2012-08;2008-08;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#433;@book?n=MI-apsemm&ed=3&vol=0#523
S_MI_5.1.1.1.12,Group B Streptococci,,True,1,2013-02,,@book?n=MI-apsemm&ed=4&vol=0#435;@book?n=MI-apsemm&ed=3&vol=0#525
S_MI_5.1.1.1.13,Group D Streptococci,,True,1,2000-10,,@book?n=MI-apsemm&ed=4&vol=0#435;@book?n=MI-apsemm&ed=3&vol=0#526
S_MI_5.1.1.1.14,Lepromin Test,,True,1,2009-08,,@book?n=MI-apsemm&ed=4&vol=0#448;@book?n=MI-apsemm&ed=3&vol=0#538
S_MI_5.1.1.1.15,Bacillus anthracis,,True,2,2007-08;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#449;@book?n=MI-apsemm&ed=3&vol=0#539
S_MI_5.1.1.1.16,Malignant Pustule,,True,6,2021-09;2012-02;2010-02;2004-08;2002-03;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#449;@book?n=MI-apsemm&ed=3&vol=0#540
S_MI_5.1.1.1.17,McFadyean's Reaction,,True,2,2014-02;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#451;@book?n=MI-apsemm&ed=3&vol=0#541
S_MI_5.1.1.1.18,Actinomycosis,,True,3,2019-08;2019-02;2014-02,,@book?n=MI-apsemm&ed=4&vol=0#452;@book?n=MI-apsemm&ed=3&vol=0#542
S_MI_5.1.1.1.19,Nocardia,,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#453;@book?n=MI-apsemm&ed=3&vol=0#544
S_MI_5.1.1.1.20,Non-Venereal Treponematoses,,True,2,2018-08;2006-02,,@book?n=MI-apsemm&ed=4&vol=0#455;@book?n=MI-apsemm&ed=3&vol=0#545
S_MI_5.1.1.1.21,Herpes Simplex Virus,,True,1,2017-08,,@book?n=MI-apsemm&ed=4&vol=0#460;@book?n=MI-apsemm&ed=3&vol=0#551
S_MI_5.1.1.1.22,Tzanck Smear,,True,2,2020-11;2019-02,,@book?n=MI-apsemm&ed=4&vol=0#462;@book?n=MI-apsemm&ed=3&vol=0#553
S_MI_5.1.1.1.23,Varicella Zoster Virus Infection (or) Herpes Zoster,,True,6,2022-08;2018-02;2013-08;2012-02;2009-08;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#463;@book?n=MI-apsemm&ed=3&vol=0#554
S_MI_5.1.1.1.24,Measles,,True,3,2023-02;2014-02;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#468;@book?n=MI-apsemm&ed=3&vol=0#559
S_MI_5.1.1.1.25,Koplik's Spots,,True,1,2010-02,,@book?n=MI-apsemm&ed=4&vol=0#469;@book?n=MI-apsemm&ed=3&vol=0#560
S_MI_5.1.1.1.26,MMR Vaccine,,True,3,2005-08;2003-10;1993-11,,@book?n=MI-apsemm&ed=4&vol=0#470;@book?n=MI-apsemm&ed=3&vol=0#561
S_MI_5.1.1.1.27,Loa Loa,,True,1,2019-08,,@book?n=MI-apsemm&ed=4&vol=0#475;@book?n=MI-apsemm&ed=3&vol=0#567
S_MI_5.1.1.1.28,Dracunculus Medinensis,- Life Cycle,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#569
S_MI_5.1.1.1.29,Cyclops (Dracunculiasis),,True,3,2022-08;2002-03;1995-11,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#569
S_MI_5.1.1.1.30,Trichinellosis,- Backman Intradermal Test,True,3,2012-08;2011-02;2000-04,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#570
S_MI_5.1.1.1.31,Cutaneous Larva Migrans,,True,10,2023-07;2023-02;2019-02;2015-08;2014-02;2010-02;2008-02;2004-08;2001-11;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#476;@book?n=MI-apsemm&ed=3&vol=0#572
S_MI_5.1.1.1.32,Superficial Mycoses,,True,5,2023-12;2015-02;2013-02;2011-02;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#478;@book?n=MI-apsemm&ed=3&vol=0#574
S_MI_5.1.1.1.33,Tinea Versicolor,,True,1,2014-08,,@book?n=MI-apsemm&ed=4&vol=0#478;@book?n=MI-apsemm&ed=3&vol=0#574
S_MI_5.1.1.1.34,Dermatophytes,,True,10,2023-02;2023-02;2018-08;2017-02;2013-08;2012-02;2010-08;2009-08;2008-08;2008-02;2007-02;2005-02;2004-08;2002-03;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#479;@book?n=MI-apsemm&ed=3&vol=0#575
S_MI_5.1.1.1.35,Ectothrix and Endothrix Infection of Hair,,True,2,2012-08;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#479;@book?n=MI-apsemm&ed=3&vol=0#576
S_MI_5.1.1.1.36,Subcutaneous Mycoses,,True,1,2010-08,,@book?n=MI-apsemm&ed=4&vol=0#481;@book?n=MI-apsemm&ed=3&vol=0#578
S_MI_5.1.1.1.37,Mycetoma,,True,10,2023-02;2020-02;2014-08;2009-08;2008-08;2007-08;2007-02;2005-02;2004-08;1998-04;1997-10;1993-01;1991-12;1990-10,,@book?n=MI-apsemm&ed=4&vol=0#481;@book?n=MI-apsemm&ed=3&vol=0#578
S_MI_5.1.1.1.38,Sporotrichosis,- Asteroid Bodies,True,6,2023-07;2014-08;2008-08;2004-04;2003-10;1997-04,,@book?n=MI-apsemm&ed=4&vol=0#482;@book?n=MI-apsemm&ed=3&vol=0#580
S_MI_5.1.1.1.39,Chromoblastomycosis,,True,1,2018-08,,@book?n=MI-apsemm&ed=4&vol=0#482;@book?n=MI-apsemm&ed=3&vol=0#581
S_MI_5.1.1.1.40,Rhinosporidiosis,,True,4,2020-11;2011-08;2010-02;2001-11,,@book?n=MI-apsemm&ed=4&vol=0#483;@book?n=MI-apsemm&ed=3&vol=0#582
S_MI_5.1.1.1.41,Mucocutaneous Candidiasis,,True,7,2022-08;2022-02;2018-02;2016-02;2009-08;2009-02;2003-10,,@book?n=MI-apsemm&ed=4&vol=0#483;@book?n=MI-apsemm&ed=3&vol=0#583
